,Cluster
Argentina,C0
Belize,C1
Bolivia,C1
Brazil,C1
Chile,C0
Colombia,C1
Costa Rica,C0
Cuba,C1
Dominican Republic,C1
Ecuador,C1
El Salvador,C1
Guatemala,C1
Guyana,C1
Haiti,C1
Honduras,C1
Jamaica,C1
Mexico,C1
Nicaragua,C1
Panama,C0
Paraguay,C1
Peru,C1
Suriname,C1
Uruguay,C0
Venezuela,C1
