,Cluster
Argentina,C2
Belize,C3
Bolivia,C3
Brazil,C3
Chile,C2
Colombia,C3
Costa Rica,C2
Cuba,C3
Dominican Republic,C3
Ecuador,C3
El Salvador,C3
Guatemala,C4
Guyana,C3
Haiti,C4
Honduras,C4
Jamaica,C3
Mexico,C3
Nicaragua,C3
Panama,C2
Paraguay,C0
Peru,C3
Suriname,C3
Uruguay,C2
Venezuela,C1
