,Country
C1,Venezuela 
C3,Belize Bolivia Brazil Colombia Cuba Dominican Republic Ecuador El Salvador Guyana Jamaica Mexico Nicaragua Peru Suriname 
C0,Paraguay 
C2,Argentina Chile Costa Rica Panama Uruguay 
C4,Guatemala Haiti Honduras 
