,Cluster
Argentina,C1
Belize,C3
Bolivia,C3
Brazil,C3
Chile,C1
Colombia,C3
Costa Rica,C1
Cuba,C3
Dominican Republic,C3
Ecuador,C3
El Salvador,C3
Guatemala,C2
Guyana,C3
Haiti,C2
Honduras,C2
Jamaica,C3
Mexico,C3
Nicaragua,C3
Panama,C1
Paraguay,C3
Peru,C3
Suriname,C3
Uruguay,C1
Venezuela,C0
