,Country
C1,Paraguay 
C3,Guatemala Honduras 
C5,Belize Bolivia Brazil Colombia Cuba Dominican Republic Ecuador El Salvador Guyana Jamaica Mexico Nicaragua Peru Suriname 
C0,Haiti 
C2,Venezuela 
C4,Argentina Chile Costa Rica Panama Uruguay 
