,Country
C1,Belize Bolivia Brazil Colombia Cuba Dominican Republic Ecuador El Salvador Guatemala Guyana Haiti Honduras Jamaica Mexico Nicaragua Paraguay Peru Suriname Venezuela 
C0,Argentina Chile Costa Rica Panama Uruguay 
